Airport.Code,Airport.Name,Time.Label,Time.Month,Statistics.Flights.Total
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/06,6,30060
BOS,"Boston, MA: Logan International",2003/06,6,9639
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/06,6,8287
CLT,"Charlotte, NC: Charlotte Douglas International",2003/06,6,8670
DCA,"Washington, DC: Ronald Reagan Washington National",2003/06,6,6513
DEN,"Denver, CO: Denver International",2003/06,6,11691
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/06,6,27628
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/06,6,11754
EWR,"Newark, NJ: Newark Liberty International",2003/06,6,12506
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/06,6,4662
IAD,"Washington, DC: Washington Dulles International",2003/06,6,8419
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/06,6,15551
JFK,"New York, NY: John F. Kennedy International",2003/06,6,5778
LAS,"Las Vegas, NV: McCarran International",2003/06,6,11759
LAX,"Los Angeles, CA: Los Angeles International",2003/06,6,18462
LGA,"New York, NY: LaGuardia",2003/06,6,8908
MCO,"Orlando, FL: Orlando International",2003/06,6,7617
MDW,"Chicago, IL: Chicago Midway International",2003/06,6,7061
MIA,"Miami, FL: Miami International",2003/06,6,4900
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/06,6,12194
ORD,"Chicago, IL: Chicago O'Hare International",2003/06,6,30195
PDX,"Portland, OR: Portland International",2003/06,6,4746
PHL,"Philadelphia, PA: Philadelphia International",2003/06,6,9069
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/06,6,14008
SAN,"San Diego, CA: San Diego International",2003/06,6,6851
SEA,"Seattle, WA: Seattle/Tacoma International",2003/06,6,9246
SFO,"San Francisco, CA: San Francisco International",2003/06,6,10183
SLC,"Salt Lake City, UT: Salt Lake City International",2003/06,6,10582
TPA,"Tampa, FL: Tampa International",2003/06,6,5401
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/07,7,30875
BOS,"Boston, MA: Logan International",2003/07,7,9972
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/07,7,8611
CLT,"Charlotte, NC: Charlotte Douglas International",2003/07,7,8965
DCA,"Washington, DC: Ronald Reagan Washington National",2003/07,7,6695
DEN,"Denver, CO: Denver International",2003/07,7,12702
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/07,7,28323
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/07,7,12192
EWR,"Newark, NJ: Newark Liberty International",2003/07,7,13058
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/07,7,4846
IAD,"Washington, DC: Washington Dulles International",2003/07,7,8788
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/07,7,16467
JFK,"New York, NY: John F. Kennedy International",2003/07,7,6205
LAS,"Las Vegas, NV: McCarran International",2003/07,7,12206
LAX,"Los Angeles, CA: Los Angeles International",2003/07,7,19295
LGA,"New York, NY: LaGuardia",2003/07,7,9294
MCO,"Orlando, FL: Orlando International",2003/07,7,8026
MDW,"Chicago, IL: Chicago Midway International",2003/07,7,7299
MIA,"Miami, FL: Miami International",2003/07,7,5126
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/07,7,12850
ORD,"Chicago, IL: Chicago O'Hare International",2003/07,7,31345
PDX,"Portland, OR: Portland International",2003/07,7,5016
PHL,"Philadelphia, PA: Philadelphia International",2003/07,7,9352
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/07,7,14410
SAN,"San Diego, CA: San Diego International",2003/07,7,7177
SEA,"Seattle, WA: Seattle/Tacoma International",2003/07,7,9992
SFO,"San Francisco, CA: San Francisco International",2003/07,7,10743
SLC,"Salt Lake City, UT: Salt Lake City International",2003/07,7,10944
TPA,"Tampa, FL: Tampa International",2003/07,7,5614
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/08,8,31305
BOS,"Boston, MA: Logan International",2003/08,8,9933
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/08,8,8636
CLT,"Charlotte, NC: Charlotte Douglas International",2003/08,8,8948
DCA,"Washington, DC: Ronald Reagan Washington National",2003/08,8,6743
DEN,"Denver, CO: Denver International",2003/08,8,12792
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/08,8,27956
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/08,8,12180
EWR,"Newark, NJ: Newark Liberty International",2003/08,8,13022
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/08,8,4825
IAD,"Washington, DC: Washington Dulles International",2003/08,8,8758
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/08,8,15985
JFK,"New York, NY: John F. Kennedy International",2003/08,8,6227
LAS,"Las Vegas, NV: McCarran International",2003/08,8,12257
LAX,"Los Angeles, CA: Los Angeles International",2003/08,8,19253
LGA,"New York, NY: LaGuardia",2003/08,8,9302
MCO,"Orlando, FL: Orlando International",2003/08,8,7988
MDW,"Chicago, IL: Chicago Midway International",2003/08,8,7277
MIA,"Miami, FL: Miami International",2003/08,8,5158
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/08,8,12887
ORD,"Chicago, IL: Chicago O'Hare International",2003/08,8,31121
PDX,"Portland, OR: Portland International",2003/08,8,4972
PHL,"Philadelphia, PA: Philadelphia International",2003/08,8,9390
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/08,8,14357
SAN,"San Diego, CA: San Diego International",2003/08,8,7199
SEA,"Seattle, WA: Seattle/Tacoma International",2003/08,8,10015
SFO,"San Francisco, CA: San Francisco International",2003/08,8,10732
SLC,"Salt Lake City, UT: Salt Lake City International",2003/08,8,10999
TPA,"Tampa, FL: Tampa International",2003/08,8,5502
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/09,9,30377
BOS,"Boston, MA: Logan International",2003/09,9,9528
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/09,9,8209
CLT,"Charlotte, NC: Charlotte Douglas International",2003/09,9,8474
DCA,"Washington, DC: Ronald Reagan Washington National",2003/09,9,6507
DEN,"Denver, CO: Denver International",2003/09,9,12076
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/09,9,27045
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/09,9,11336
EWR,"Newark, NJ: Newark Liberty International",2003/09,9,12189
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/09,9,4623
IAD,"Washington, DC: Washington Dulles International",2003/09,9,8419
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/09,9,15132
JFK,"New York, NY: John F. Kennedy International",2003/09,9,5811
LAS,"Las Vegas, NV: McCarran International",2003/09,9,11905
LAX,"Los Angeles, CA: Los Angeles International",2003/09,9,18196
LGA,"New York, NY: LaGuardia",2003/09,9,8771
