Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Thomond Park,http://www.thomondpark.ie,35361421109,-8.642519,52.6742164,Limerick,,Ireland,"Museums and Attraction,Stadium,Sports Venue,Venue,Sports Venues,Cafe,Food and Drink,Pubs and Bar,Food Shops,Shopping,Tour"
Ireland Writing Retreat Donegal,https://www.irelandwritingretreat.com,353833000000,-8.232854867,55.05149629,Donegal,Gweedore,Ireland,"Learning,Activity Operator,Literary Ireland"
Gallery of Photography,http://www.galleryofphotography.ie,+353(0)16714654,-6.265433335,53.34483942,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Photography,Art Gallery,Food Shops"
Swords Castle,https://swordscastle.events/,+353(0)1840 0891,-6.220338,53.459928,Dublin,Swords,Republic of Ireland,"Historic Houses and Castle,Castle,Tour"
Kilbolane Castle,https://visitballyhoura.com/explore/kilbolane-castle,3536391300,-8.8468668,52.3377252,Cork,,Ireland,"Historic Houses and Castle,Castle"
Cathedral of Christ the King,http://www.mullingarparish.ie,353449000000,-7.3458111,53.5270509,Westmeath,Mullingar,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Athenry Arts and Heritage Centre,http://www.athenryheritagecentre.com,35391844661,-8.746329,53.2995236,Galway,Athenry,Ireland,"Covid Safety Charter,Learning,Museums and Attraction"
Beoir Chorca Dhuibhne - West Kerry Brewery,https://westkerrybrewery.ie,353877000000,-10.3863964,52.1704021,Kerry,Dingle Peninsula,Ireland,"Museums and Attraction,Artisan,Food and Drink,Restaurant,Local Produce,Pubs and Bar,Food Shops,Shopping"
Spanish Point,,,-9.432739,52.842867,Clare,Spanish Point,Ireland,Discovery Point
Dunmore Country School Garden,http://www.dunmorecountryschool.ie,353579000000,-7.400964,52.858234,Laois,Swan,Ireland,"Food and Drink,Restaurant,Gardening,Nature and Wildlife,Learning,Gardens,Garden"
